"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01765",11.3931178182218,-1.12049426341405,0.326678243452869,-3.42996292489771,0.000603663726521699,0.00426154760709432
"H2AZP6",10.0490622891413,-0.372215775751007,0.221024316917021,-1.68404898131976,0.0921722030027835,0.207259202299394
"RPL27P7",2.36015648394046,-0.253765044950301,0.447785172253941,-0.566711585542162,0.570910148254606,0.72077406217144
"LINC00656",5.30839435329608,2.02891994540406,0.506802432391056,4.00337452176732,6.24453279195905e-05,0.000720797499414702
"RPL36AP13",23.525404086419,-0.11498179659391,0.16068384298376,-0.715577835697714,0.474252063517795,0.641318252509613
"CICP27",24.8651446995379,1.29019304673317,0.341811300028734,3.7745769277514,0.000160279443529714,0.00150450923190987
"ZNF892",50.8596525153409,-0.516714784291678,0.129791240940479,-3.98112215082866,6.85906876022989e-05,0.000776551796512163
"RPS15P4",56.8530885699436,0.192868671248884,0.131778553920435,1.46358163381678,0.143308293777825,0.285939932195096
"CICP5",1.56523832391672,0.361647255497528,0.494508526544989,0.731326632574505,0.464579666816973,0.632588727971928
"SAT1-DT",2.7581682716988,-0.0113021925381003,0.415245424860891,-0.0272181025038062,0.978285777344503,0.987188446327924
"BTG2-DT",25.7446578367215,0.315920791399024,0.27155010330048,1.16339779495295,0.244668143778248,0.417999704349395
"UFL1-AS1",3.02992324403078,-0.123074584660286,0.365443222718351,-0.336781685934124,0.736281479913251,0.840234398109041
"LINC01237",65.3411018383583,-0.194493919651288,0.178567819916213,-1.08918796086858,0.276071006860163,0.454454438914564
"H2BC15",255.039348786278,0.168029778550508,0.149236656550633,1.12592832373928,0.260195859434561,0.436349975224682
"EPC1-AS2",46.041955333977,-0.195653924823312,0.112169138344732,-1.74427590075627,0.0811109918048264,0.188592883610818
"RPL26P15",7.46972907748727,-0.349127960172691,0.219595786248529,-1.5898663910498,0.111864924819481,0.239385325596414
"EIF4HP1",25.3956450426542,0.040351774044235,0.153056095027661,0.263640425668397,0.792057005051069,0.876976473851526
"GIRGL",3.57578951991886,0.295641306839399,0.419462768423096,0.704809411216197,0.480928850986771,0.646965066363837
"ERCC8-AS1",10.8711568031813,0.132833084907143,0.241217563905311,0.550677499418269,0.581854771654136,0.728441430991163
"LATS2-AS1",17.7634574195868,0.343558957061446,0.206188088881147,1.66624056183713,0.0956655100313914,0.213131006242854
"ADH5P4",2.075748816449,0.225337657694795,0.458577582847572,0.491383936160907,0.623154923653028,0.760184964871639
"YEATS2-AS1",71.57318701639,0.0627351814901256,0.100063193226202,0.626955621417227,0.530688325756565,0.689193474581796
"PAIP1P1",40.7161792784659,0.174661392765949,0.10317960819922,1.69278984301541,0.09049547670447,0.204714947073668
"EZR-AS1",59.5519437092143,-0.654763602094317,0.169593524837845,-3.86078184718646,0.000113024782325948,0.00114405920325359
"PDYN-AS1",2.35480835597684,1.99919409206373,0.858670140644966,2.32824456963427,0.0198991207812835,0.0658575673112096
"LINC01503",61.8812705255791,1.34459857014115,0.250455969570202,5.36860260287891,7.9349044688452e-08,4.08780716126549e-06
"RPL10P9",111.366419016424,0.179930713328344,0.141831662639522,1.26862161790808,0.204576050279751,0.368818888923953
"ZDHHC20P1",4.81924230405064,0.255424768775771,0.306220338227705,0.834120849888936,0.404212887100381,0.578329565961328
"LINC01694",10.0738189008013,0.102637321835713,0.215447667674628,0.476390962796205,0.6337958717983,0.768565104569313
"RPSAP13",2.87953946674765,-0.369195839928675,0.412704067821094,-0.894577661610838,0.371012897535343,0.548410360385383
"TLE1-DT",3.43392723161618,-0.242045926702771,0.419341059661854,-0.577205406257976,0.563800705398196,0.714619256049629
"RPS28",2111.68975388411,0.0126357591770705,0.178052268742643,0.0709665721549112,0.943424359944298,0.96714957472758
"MT1XP1",13.0714258260763,-0.0399446472349778,0.162281640116606,-0.246143970484128,0.805570786381928,0.885897042445227
"KRTAP5-AS1",49.6189458346071,-0.882819653456652,0.198924608995531,-4.43796098388454,9.08150752336624e-06,0.000158551141204001
"FTLP15",9.60780991845927,-0.349518773132344,0.361095252129218,-0.967940650206248,0.33307401115919,0.513255539973983
"UQCRHL",16.9093968564463,0.456685243697136,0.173754072153757,2.62834268018196,0.00858020326108284,0.0345972545432001
"BTF3P6",6.29303451962003,-0.152689269533277,0.310913608069323,-0.491098702567025,0.623356639114957,0.760390755670052
"UBE2SP1",6.01736458217164,0.0133111610651144,0.279569912673094,0.0476129957542298,0.96202467466301,0.977959118046518
"LINC02574",4.14263488069751,-0.293401231539906,0.367795370791106,-0.797729538870534,0.425027458265381,0.597237753779301
"RPL22P21",7.61555684114369,-0.0650801635941632,0.238123362387405,-0.273304403825289,0.784619230395419,0.872607535861379
"FDPSP2",8.64147366648693,0.178735035210166,0.264602088696122,0.675486108559905,0.49936697414383,0.66225370488547
"DTD1-AS1",52.92003033952,-0.464538301459569,0.142551967184164,-3.25872950500521,0.00111912315790538,0.00693332474582867
